"id","name","description","mcc-code"
"1","Каршеринг","Краткосрочная аренда авто с оплатой по минутам или часам — не включая услуги такси и аренду в дилерских центрах","7512, 4121"
"2","Супермаркеты","Покупки в супермаркетах и продуктовых магазинах","5297, 5298, 5300, 5411, 5412, 5422, 5441, 5451, 5462, 5499, 5715, 5921"
"3","Такси","Услуги такси (каршеринг не входит в данную категорию)","4121"
"4","Музыка","Покупки в магазинах музыки и музыкальных инструментов","5733, 5735"
"5","Фастфуд","Покупки в ресторанах быстрого питания","5814"
"6","Транспорт","Оплата городского и пригородного транспорта. Взносы за пользование парковками, гаражами и платными дорогами. Оплата в разделе «Транспорт» в приложении Тинькофф и на сайте tinkoff.ru. Покупка спецтехники и лизинг авто — не включая авто напрокат","4111, 4121, 4131, 4457, 4468, 4784, 4789, 5013, 5271, 5551, 5561, 5592, 5598, 5599, 7511, 7523"
"7","Аптеки","Покупки в аптеках","5122, 5292, 5295, 5912"
"8","Кино","Покупки в кинотеатрах и магазинах кино","7829, 7832, 7841"
"9","Книги","Покупки в книжных магазинах и газетных киосках","2741, 5111, 5192, 5942, 5994"
"10","Развлечения","Оплата развлечений, (например, в магазинах видеоигр, боулинге или цирке), оплата в категории «Театры» и «Концерты» на tinkoff.ru и в мобильном приложении","7911, 7922, 7929, 7932, 7933, 7941, 7991, 7992, 7993, 7994, 7996, 7997, 7998, 7999, 8664"
"11","Красота","Покупки в массажных и косметических салонах, SPA и салонах","5977, 7230, 7297, 7298"
"12","Образование","Оплата в государственных и частных школах, вузах и училищах, а также плата за профильное обучение: бизнесу, искусствам, спорту, вождению","8211, 8220, 8241, 8244, 8249, 8299, 8493, 8494"
"13","Одежда и обувь","Покупки в магазинах одежды и обуви","5094, 5137, 5139, 5611, 5621, 5631, 5641, 5651, 5661, 5681, 5691, 5697, 5698, 5699, 5931, 5944, 5949, 5950, 7296, 7631"
"14","Рестораны","Оплата счета в барах, ресторанах, кафе и клубах (кроме фастфуда)","5811, 5812, 5813"
"15","Топливо","Покупка газа и бензина на заправках","5172, 5541, 5542, 5983"
"16","Животные","Покупки в зоомагазинах","5995, 0742"
"17","Дом и ремонт","Покупки в магазинах мебели, товаров для дома и ремонта","1520, 1711, 1731, 1740, 1750, 1761, 1771, 1799, 2791, 2842, 5021, 5039, 5046, 5051, 5065, 5072, 5074, 5085, 5198, 5200, 5211, 5231, 5251, 5261, 5415, 5712, 5713, 5714, 5718, 5719, 5722, 7622, 7623, 7629, 7641, 7692, 7699"
"18","Спорттовары","Покупки в магазинах спортивных товаров","5655, 5940, 5941"
"19","Сувениры","Покупки в магазинах сувениров: открыток, упаковочной бумаги, подарков","5947"
"20","Фото и видео","Покупки в магазинах фото- и видеотехники","5044, 5045, 5946, 7332, 7333, 7338, 7339, 7395"
"21","Цветы","Покупки в цветочных магазинах и салонах флористики","5193, 5992"
"22","Аренда авто","Оплата аренды авто в дилерских центрах (каршеринг не входит в данную категорию)","3351–3398, 3400–3410, 3412–3423, 3425–3439, 3441, 7512, 7513, 7519"
"23","Автоуслуги","Покупка автозапчастей, услуги в автосервисах и на автомойках","5511, 5521, 5531, 5532, 5533, 5571, 7012, 7531, 7534, 7535, 7538, 7542, 7549"
"24","Авиабилеты","Оплата авиабилетов","3000–3299; 4304; 4415; 4418; 4511; 4582"
"25","Дьюти-фри","Покупки в магазинах дьюти-фри","5309"
"26","Железнодорожные билеты","Оплата билетов на поезд","4011, 4112"
"27","Искусство","Покупки в галереях, антикварных магазинах или у арт-дилеров","5932, 5937, 5970, 5971, 5972, 5973"
"28","Переводы","Переводы, пополнения",""
"29","Другое","Интернет, комунальные услуги",""
